size	file
4	酒/属性/口感/清新
4	酒/属性/口感/柔和
4	酒/属性/口感/饱满
4	酒/属性/口感/强劲
4	酒/属性/口感/其他
4	酒/属性/酸度/低酸
4	酒/属性/酸度/中酸
4	酒/属性/酸度/高酸
4	酒/属性/酸度/其他
4	酒/属性/甜度/极干型
4	酒/属性/甜度/干型
4	酒/属性/甜度/半干型
4	酒/属性/甜度/半甜型
4	酒/属性/甜度/甜型
4	酒/属性/甜度/其他
4	酒/属性/类型/静止酒
4	酒/属性/类型/低泡酒
4	酒/属性/类型/高泡酒
4	酒/属性/类型/无醇酒
4	酒/属性/类型/其他
4	酒/属性/度数/<35度
4	酒/属性/度数/35-39
4	酒/属性/度数/40-49
4	酒/属性/度数/>50
4	酒/属性/香型/花香
4	酒/属性/香型/酱香
4	酒/属性/香型/浓香
4	酒/属性/香型/果香
4	酒/属性/香型/植物
4	酒/属性/香型/清香
4	酒/属性/香型/木香
4	酒/属性/香型/其他
4	酒/质检/指标/生产批次
4	酒/质检/指标/化学物质
4	酒/质检/原因/食品添加剂
4	酒/质检/原因/固形物
4	酒/质检/原因/酒精度
4	酒/质检/原因/氰化物
4	酒/质检/原因/其他
4	酒/质检/时间
4	酒/质检/数量
4	酒/质检/销售地点
4	酒/质检/质检员
4	酒/属性/产地/国产-四川
4	酒/属性/产地/国产-山东
4	酒/属性/产地/国产-天津
4	酒/属性/产地/国产-北京
4	酒/属性/产地/国产-福建
4	酒/属性/产地/国产-湖北
4	酒/属性/产地/国产-其他
4	酒/属性/产地/进口-法国
4	酒/属性/产地/进口-西班牙
4	酒/属性/产地/进口-英国
4	酒/属性/产地/进口-其他
52	酒
